Brand,Name,MinPrice,MaxPrice,bodyType,Transmission,Seater,Performance,Comfort,Features,Safety,Mileage,CityUseScore,HighWayUseScore,ResaleValue,Rating,MaintenanceRating,FuelType
Tata,Sierra,2000000,2500000,SUV,Automatic,5,4,5,5,5,4,4,5,4,4,4,Petrol
Skoda,Elroq,4500000,5500000,SUV,Automatic,5,4,5,5,5,5,5,5,3,4,3,Electric
Volkswagen,ID.7,5500000,6500000,Sedan,Automatic,5,4,5,5,5,5,5,5,3,4,3,Electric
Honda,Prologue,5000000,6500000,SUV,Automatic,5,4,5,5,5,5,5,5,4,4,3,Electric
Hyundai,IONIQ5 N,6500000,8000000,SUV,Automatic,5,5,5,5,5,5,5,5,3,5,3,Electric
Kia,EV3,2500000,3500000,SUV,Automatic,5,4,5,5,5,5,5,5,3,4,3,Electric
MG,Cyberster,6500000,8000000,Sports,Automatic,2,5,5,5,5,5,5,5,3,5,3,Electric
Mercedes,EQA,6000000,7500000,SUV,Automatic,5,4,5,5,5,5,5,5,2,4,3,Electric
BMW,X2,6000000,7500000,SUV,Automatic,5,4,5,5,5,3,3,5,2,4,2,Petrol
Audi,Q3 Sportback,5500000,6500000,SUV,Automatic,5,5,5,5,5,3,3,5,2,4,2,Petrol
Citroen,eC3 Aircross,1400000,1900000,SUV,Automatic,5,3,4,4,4,5,5,4,3,3,4,Electric
Renault,Kiger Turbo,800000,1300000,SUV,Automatic,5,3,4,4,3,4,5,3,3,3,4,Petrol
Nissan,Magnite Turbo,800000,1300000,SUV,Automatic,5,3,4,4,3,4,5,3,3,3,4,Petrol
Jeep,Wrangler 4xe,7500000,9000000,SUV,Automatic,4,5,4,4,5,3,2,5,4,4,3,Hybrid
Mahindra,Thar 5-Door,1600000,2100000,SUV,Manual,5,4,4,4,4,2,3,5,4,4,3,Diesel
Tata,Curvv Diesel,1400000,2100000,SUV,Automatic,5,4,5,5,5,5,4,5,4,4,4,Diesel
Maruti,GrandVitara CNG,1400000,2100000,SUV,Automatic,5,4,5,5,5,4,4,5,5,4,5,CNG
